antecedents,consequents,support,confidence,lift
fossil_HIGH,"is_WEEKDAY, price_HIGH",0.171034600890716,0.5131477516059957,1.8778248478118278
"fossil_HIGH, price_MED",renewable_LOW,0.065775950668037,0.6259168704156479,1.8775898036241598
"price_MED, time_NIGHT",renewable_LOW,0.05344295991778006,0.6244162775183455,1.8730884104575323
"fossil_HIGH, time_EVENING",price_HIGH,0.05863880324311979,0.6229905975128905,1.86929198643837
demand_HIGH,fossil_HIGH,0.2070343725019984,0.6211563169164882,1.8636285626510276
fossil_HIGH,demand_HIGH,0.2070343725019984,0.6211563169164882,1.8636285626510276
"fossil_HIGH, time_MORNING",price_HIGH,0.0630352860568688,0.6181410974244121,1.8547409937110082
"demand_HIGH, time_EVENING",price_HIGH,0.0504739065890145,0.6126126126126126,1.8381526978408937
"fossil_HIGH, renewable_MED",price_HIGH,0.07999314833847208,0.6107236268526591,1.8324847696929025
"fossil_HIGH, is_WEEKDAY",price_HIGH,0.171034600890716,0.6097089354773052,1.8294401740533706
price_HIGH,"fossil_HIGH, is_WEEKDAY",0.171034600890716,0.5131917080692137,1.8294401740533703
"price_HIGH, season_WINTER",demand_HIGH,0.06594724220623502,0.6094986807387863,1.8286526585797178
"renewable_LOW, season_AUTUMN",fossil_HIGH,0.07177115450496746,0.6090116279069768,1.8271913749315276
"price_HIGH, renewable_MED",fossil_HIGH,0.07999314833847208,0.6028399311531842,1.808674698795181
"fossil_LOW, renewable_HIGH",price_LOW,0.1505081648966541,0.5968527114230726,1.7904047936736651
"demand_LOW, fossil_LOW",renewable_HIGH,0.10117620189562636,0.5932373619015735,1.7797120857047206
"demand_MED, season_SPRING",renewable_HIGH,0.053871188763275096,0.5920928773140886,1.7762786319422657
"renewable_LOW, season_SUMMER",fossil_HIGH,0.05518442388945986,0.5916743189470463,1.7751749930687053
"demand_LOW, time_NIGHT",price_LOW,0.12601347493433823,0.5912135012054648,1.7734886118202466
"price_HIGH, time_MORNING",fossil_HIGH,0.0630352860568688,0.589271417133707,1.7679656701806843
"fossil_LOW, price_LOW",demand_LOW,0.11499371931026607,0.5884587289992695,1.7653761869978086
"demand_MED, price_LOW",fossil_LOW,0.057582505424232044,0.5870197904540163,1.76045626883761
fossil_LOW,price_LOW,0.1954150964942332,0.5860445205479453,1.7579829978379231
price_LOW,fossil_LOW,0.1954150964942332,0.586195084353858,1.757982997837923
"fossil_LOW, is_WEEKEND",demand_LOW,0.07385520155304327,0.5852941176470587,1.7558823529411762
"demand_HIGH, time_MORNING",fossil_HIGH,0.07853717026378897,0.5850701829008932,1.755360887935973
"price_HIGH, season_WINTER",fossil_HIGH,0.06323512618476647,0.5844327176781002,1.7534483284649673
"demand_MED, price_LOW",renewable_HIGH,0.057325568116935025,0.5844004656577416,1.753201396973225
"demand_LOW, renewable_MED",fossil_LOW,0.05375699440447642,0.5838759689922481,1.7510280344058622
"demand_MED, fossil_MED",renewable_MED,0.07219938335046248,0.5832564575645757,1.749919245873401
"fossil_HIGH, time_AFTERNOON",price_HIGH,0.059466712344410186,0.5794158553546592,1.7385453641736341
"price_HIGH, renewable_MED",demand_HIGH,0.07673860911270983,0.5783132530120482,1.735088362013364
"is_WEEKDAY, price_HIGH",demand_HIGH,0.15778805527006967,0.5774132887588801,1.7323882379996618
renewable_LOW,fossil_HIGH,0.19221765444787028,0.5766035796865634,1.7299589027204232
fossil_HIGH,renewable_LOW,0.19221765444787028,0.5767023554603854,1.729958902720423
"fossil_HIGH, is_WEEKDAY",renewable_LOW,0.16158501770012562,0.5760227966619175,1.7279204009140743
"renewable_MED, time_MORNING",demand_HIGH,0.05135891286970424,0.5754958413307741,1.7266354030093667
"demand_HIGH, renewable_MED",price_HIGH,0.07673860911270983,0.5750962772785623,1.7255844098435396
"fossil_HIGH, time_EVENING",demand_HIGH,0.05392828594267443,0.572945101607522,1.7189825284032787
"is_WEEKEND, price_LOW",demand_LOW,0.07405504168094096,0.5707370737073708,1.7122112211221125
"renewable_MED, time_AFTERNOON",fossil_HIGH,0.053899737352974764,0.56987624509508,1.709775170294686
"price_LOW, time_NIGHT",fossil_LOW,0.07956491949297705,0.5694728238659583,1.7078333967788348
"is_WEEKDAY, time_AFTERNOON",demand_HIGH,0.10146168779262305,0.5685490321548552,1.705793190434284
fossil_HIGH,price_HIGH,0.18913440676030605,0.5674518201284796,1.7026471094278213
price_HIGH,fossil_HIGH,0.18913440676030605,0.56750042830221,1.7026471094278213
"fossil_MED, price_LOW",demand_LOW,0.05606943017014959,0.5671383193762634,1.70141495812879
"price_HIGH, time_AFTERNOON",demand_HIGH,0.053385862738380724,0.5666666666666667,1.7001456102783725
"demand_LOW, is_WEEKEND",price_LOW,0.07405504168094096,0.5657579062159214,1.697128366783531
"demand_LOW, is_WEEKEND",fossil_LOW,0.07385520155304327,0.5642311886586695,1.6921138763986197
"fossil_HIGH, season_SUMMER",renewable_LOW,0.05518442388945986,0.5612659698025552,1.6836537115906398
time_NIGHT,price_LOW,0.13971679799017928,0.5585482766491667,1.6755013303474362
season_SPRING,fossil_LOW,0.1407159986296677,0.5586535192111526,1.675386598538378
"is_WEEKDAY, price_LOW",fossil_LOW,0.1131380609797876,0.5556646102075155,1.6664229423243881
"fossil_LOW, time_NIGHT",renewable_HIGH,0.06058010734269727,0.5549163179916318,1.6647489539748954
"demand_LOW, price_MED",renewable_LOW,0.06206463400708005,0.5516366404465871,1.6547681974448105
season_SPRING,renewable_HIGH,0.13783259107000115,0.5472061657032755,1.6416184971098267
"demand_HIGH, is_WEEKDAY",price_HIGH,0.15778805527006967,0.5468487187098052,1.6408272159471524
"price_HIGH, time_EVENING",fossil_HIGH,0.05863880324311979,0.5467128027681661,1.6402788912516766
"fossil_LOW, is_WEEKDAY",price_LOW,0.1131380609797876,0.5458677685950413,1.637463064001636
"renewable_MED, time_AFTERNOON",demand_HIGH,0.05150165581820258,0.5445215816480531,1.6337046648366598
"is_WEEKDAY, season_SPRING",renewable_HIGH,0.09797875984926345,0.5443298969072164,1.6329896907216495
"fossil_HIGH, price_HIGH",renewable_LOW,0.10263217997030946,0.5426415094339623,1.627785115393751
season_SPRING,price_LOW,0.13643371017471737,0.541652499149949,1.6248183386335884
"fossil_HIGH, season_AUTUMN",demand_HIGH,0.05726847093753568,0.5401184706515886,1.6204942004268816
"demand_HIGH, price_MED",fossil_HIGH,0.055869590042251914,0.5373421197144427,1.6121644342062096
time_MORNING,demand_HIGH,0.13423546876784287,0.5372486288848263,1.6118839376940208
"fossil_HIGH, renewable_LOW",price_HIGH,0.10263217997030946,0.5339373236298827,1.602086394732528
"is_WEEKDAY, time_NIGHT",price_LOW,0.09515244946899623,0.5328537170263788,1.5984242528046586
price_LOW,demand_LOW,0.1774580335731415,0.5323285090348548,1.5969855271045645
demand_LOW,price_LOW,0.1774580335731415,0.5323741007194245,1.5969855271045645
"fossil_HIGH, price_MED",demand_HIGH,0.055869590042251914,0.5316490084216245,1.5950836374297785
"demand_MED, fossil_HIGH",price_HIGH,0.05284343953408702,0.5306766055045872,1.5923025644693063
"price_MED, renewable_LOW",fossil_HIGH,0.065775950668037,0.5300207039337475,1.5901983055581417
"fossil_MED, renewable_MED",demand_MED,0.07219938335046248,0.5273144286905754,1.5818078109251927
"price_HIGH, season_AUTUMN",renewable_LOW,0.05872444901221879,0.526490913744561,1.5793374776607418
"fossil_HIGH, time_AFTERNOON",renewable_MED,0.053899737352974764,0.5251738525730181,1.575656506032349
"is_WEEKDAY, season_SPRING",fossil_LOW,0.0944387347265045,0.5246629659000792,1.5734498604065048
